time;sn_hour_avg;sm_hour_avg;sx_hour_avg;dn_hour_avg;dm_hour_avg;dx_hour_avg;ta_hour_avg;pa_hour_avg;
2017-12-06 23:00:00+01;;;;;;;;;
2017-12-07 00:00:00+01;1.45;4.27;6.97;202.00;250.00;270.00;4.52;996.11;
2017-12-07 01:00:00+01;1.19;3.84;6.29;198.00;250.00;282.00;4.75;996.31;
2017-12-07 02:00:00+01;1.44;4.30;6.94;195.00;245.00;256.00;4.88;996.29;
2017-12-07 03:00:00+01;1.39;4.12;6.73;196.00;247.00;277.00;4.90;996.18;
2017-12-07 04:00:00+01;1.32;4.57;7.66;191.00;250.00;287.00;4.85;996.03;
2017-12-07 05:00:00+01;1.85;5.40;8.43;197.00;243.00;271.00;4.74;995.87;
2017-12-07 06:00:00+01;1.40;4.31;7.10;197.00;248.00;279.00;4.53;995.94;
2017-12-07 07:00:00+01;1.67;4.18;6.44;207.00;243.00;278.00;4.28;995.86;
2017-12-07 08:00:00+01;1.90;4.88;7.26;197.00;244.00;271.00;4.29;995.65;
2017-12-07 09:00:00+01;1.68;4.65;7.10;200.00;250.00;266.00;4.34;995.39;
2017-12-07 10:00:00+01;1.34;4.28;6.89;199.00;251.00;280.00;4.25;995.02;
2017-12-07 11:00:00+01;1.05;3.08;4.95;201.00;254.00;265.00;4.39;994.16;
2017-12-07 12:00:00+01;1.21;2.99;4.45;200.00;248.00;250.00;5.12;993.02;
2017-12-07 13:00:00+01;0.94;2.76;4.14;191.00;248.00;249.00;5.94;992.01;
2017-12-07 14:00:00+01;0.79;1.92;3.01;194.00;251.00;228.00;6.32;991.32;
2017-12-07 15:00:00+01;0.86;1.56;2.13;203.00;238.00;257.00;5.43;990.82;
2017-12-07 16:00:00+01;0.79;1.36;1.86;203.00;229.00;242.00;4.68;990.14;
2017-12-07 17:00:00+01;0.32;0.85;1.33;162.00;210.00;224.00;3.76;989.73;
2017-12-07 18:00:00+01;0.41;0.81;1.25;236.00;253.00;224.00;3.60;989.39;
2017-12-07 19:00:00+01;0.26;0.61;0.98;230.00;265.00;211.00;2.78;988.98;
2017-12-07 20:00:00+01;0.29;0.64;1.05;239.00;257.00;187.00;1.96;988.40;
2017-12-07 21:00:00+01;0.20;0.58;1.00;222.00;268.00;170.00;1.27;987.84;
2017-12-07 22:00:00+01;0.28;0.70;1.18;242.00;230.00;176.00;0.53;987.26;
2017-12-07 23:00:00+01;;;;;;;;;
2017-12-08 00:00:00+01;0.45;1.89;3.62;196.00;273.00;193.00;4.61;985.59;
2017-12-08 01:00:00+01;0.19;0.74;1.41;129.00;178.00;227.00;4.59;984.90;
2017-12-08 02:00:00+01;0.34;0.72;1.15;158.00;112.00;113.00;2.98;984.12;
2017-12-08 03:00:00+01;0.23;0.69;1.22;215.00;170.00;127.00;1.63;983.22;
2017-12-08 04:00:00+01;0.32;0.75;1.18;227.00;203.00;141.00;-0.11;982.81;
2017-12-08 05:00:00+01;0.44;1.04;1.57;125.00;78.00;112.00;0.51;982.13;
2017-12-08 06:00:00+01;0.30;0.91;1.60;209.00;191.00;173.00;1.85;981.37;
2017-12-08 07:00:00+01;0.65;1.31;1.94;142.00;184.00;219.00;3.82;980.67;
2017-12-08 08:00:00+01;0.59;1.93;3.26;193.00;232.00;199.00;5.93;980.84;
2017-12-08 09:00:00+01;1.03;3.31;5.48;199.00;257.00;209.00;8.55;981.23;
2017-12-08 10:00:00+01;0.65;2.40;4.23;200.00;262.00;223.00;8.54;981.47;
2017-12-08 11:00:00+01;0.62;2.36;4.22;199.00;264.00;234.00;8.66;981.10;
2017-12-08 12:00:00+01;0.68;2.00;3.28;188.00;242.00;233.00;8.05;980.44;
2017-12-08 13:00:00+01;1.01;2.55;3.87;191.00;236.00;257.00;7.87;980.33;
2017-12-08 14:00:00+01;0.71;2.35;3.82;202.00;257.00;220.00;7.50;980.43;
2017-12-08 15:00:00+01;0.48;1.45;2.31;222.00;272.00;237.00;6.72;980.64;
2017-12-08 16:00:00+01;0.52;1.18;1.78;180.00;218.00;243.00;5.94;980.72;
2017-12-08 17:00:00+01;1.14;2.64;4.02;184.00;226.00;245.00;5.71;980.46;
2017-12-08 18:00:00+01;0.62;2.05;3.53;185.00;252.00;194.00;5.46;980.73;
2017-12-08 19:00:00+01;1.02;2.82;4.36;200.00;248.00;250.00;5.33;981.13;
2017-12-08 20:00:00+01;0.95;2.81;4.39;202.00;251.00;261.00;4.74;981.57;
2017-12-08 21:00:00+01;0.54;1.57;2.44;231.00;278.00;255.00;4.09;981.55;
2017-12-08 22:00:00+01;0.37;0.94;1.52;193.00;244.00;237.00;3.83;981.37;
2017-12-08 23:00:00+01;;;;;;;;;
